Timestamp,Energy_kW,Temperature_C,Humidity_%,Luminous_Intensity_Lux,Occupancy
2020-01-01 00:00:00,0.3996,23.3,85.99,0.0,0
2020-01-01 01:00:00,0.2081,21.71,90.09,0.0,0
2020-01-01 02:00:00,0.2904,20.85,93.33,0.0,0
2020-01-01 03:00:00,0.2171,23.31,89.62,0.0,0
2020-01-01 04:00:00,0.316,24.15,85.38,0.0,0
2020-01-01 05:00:00,0.3734,24.42,83.16,0.0,0
2020-01-01 06:00:00,4.5166,26.2,81.29,370.06,2
2020-01-01 07:00:00,5.8752,27.41,82.62,15829.23,2
2020-01-01 08:00:00,2.998,28.74,75.34,31241.41,1
2020-01-01 09:00:00,3.6479,29.91,70.78,43177.5,1
2020-01-01 10:00:00,0.3878,30.4,66.17,52759.59,0
2020-01-01 11:00:00,0.2968,31.91,63.91,57763.17,0
2020-01-01 12:00:00,0.245,34.41,65.76,58884.62,0
2020-01-01 13:00:00,2.9994,34.07,59.45,57668.93,1
2020-01-01 14:00:00,0.2978,33.69,61.0,50415.69,0
2020-01-01 15:00:00,3.2809,34.02,62.96,43966.1,1
2020-01-01 16:00:00,3.2311,32.09,58.25,31289.83,1
2020-01-01 17:00:00,3.3853,31.73,68.28,16317.56,1
2020-01-01 18:00:00,6.8191,30.89,70.24,0.0,2
2020-01-01 19:00:00,6.0438,29.33,72.48,0.0,2
2020-01-01 20:00:00,3.3663,28.28,73.55,0.0,2
2020-01-01 21:00:00,1.3653,24.99,75.92,0.0,2
2020-01-01 22:00:00,0.3106,25.29,84.05,0.0,0
2020-01-01 23:00:00,0.3381,23.71,87.88,0.0,0
2020-01-02 00:00:00,0.3378,22.5,84.19,0.0,0
2020-01-02 01:00:00,0.2994,21.47,85.98,0.0,0
2020-01-02 02:00:00,0.309,20.84,93.19,0.0,0
2020-01-02 03:00:00,0.2672,22.62,91.32,0.0,0
2020-01-02 04:00:00,0.3335,23.23,89.78,0.0,0
2020-01-02 05:00:00,0.2986,24.34,85.43,0.0,0
2020-01-02 06:00:00,4.1129,26.21,81.17,0.0,2
2020-01-02 07:00:00,4.1901,27.88,77.05,14094.49,2
2020-01-02 08:00:00,0.22,29.02,73.21,29582.11,0
2020-01-02 09:00:00,0.2234,29.36,68.89,40866.19,0
2020-01-02 10:00:00,0.2761,31.61,67.93,52685.72,0
2020-01-02 11:00:00,0.3141,32.61,63.51,59387.12,0
2020-01-02 12:00:00,0.2411,32.25,63.34,58065.49,0
2020-01-02 13:00:00,2.5331,33.39,64.13,59228.47,1
2020-01-02 14:00:00,2.925,35.08,56.88,53709.1,1
2020-01-02 15:00:00,0.3941,33.5,56.57,42211.72,0
2020-01-02 16:00:00,3.518,31.76,62.04,30660.16,1
2020-01-02 17:00:00,3.6538,33.12,66.6,16746.64,1
2020-01-02 18:00:00,4.2276,29.72,69.81,0.0,2
2020-01-02 19:00:00,3.946,29.2,72.09,0.0,2
2020-01-02 20:00:00,3.2742,28.81,76.14,0.0,2
2020-01-02 21:00:00,3.757,27.01,79.2,0.0,2
2020-01-02 22:00:00,0.316,25.91,79.17,0.0,0
2020-01-02 23:00:00,0.2468,24.82,84.18,0.0,0
2020-01-03 00:00:00,0.3019,21.98,89.0,0.0,0
2020-01-03 01:00:00,0.362,22.38,91.09,0.0,0
2020-01-03 02:00:00,0.2454,21.72,91.48,0.0,0
2020-01-03 03:00:00,0.2706,22.5,92.33,0.0,0
2020-01-03 04:00:00,0.3915,23.8,85.35,0.0,0
2020-01-03 05:00:00,0.2027,24.08,84.63,0.0,0
2020-01-03 06:00:00,2.773,24.63,83.33,588.2,2
2020-01-03 07:00:00,3.147,25.67,75.7,15772.43,2
2020-01-03 08:00:00,0.3476,27.1,75.46,29126.69,0
2020-01-03 09:00:00,0.2551,28.29,67.13,43262.8,0
2020-01-03 10:00:00,3.3049,31.85,68.83,53371.09,1
2020-01-03 11:00:00,3.5399,31.89,63.69,56757.11,1
2020-01-03 12:00:00,0.3447,33.68,65.94,61850.24,0
2020-01-03 13:00:00,0.3613,34.9,61.34,58232.47,0
2020-01-03 14:00:00,0.2016,34.24,62.06,53288.33,0
2020-01-03 15:00:00,0.2893,32.34,58.88,42096.33,0
2020-01-03 16:00:00,3.5921,32.82,60.71,31181.51,1
2020-01-03 17:00:00,3.5238,33.53,62.21,17135.69,1
2020-01-03 18:00:00,5.2008,30.8,68.41,188.45,2
2020-01-03 19:00:00,5.137,29.69,71.13,0.0,2
2020-01-03 20:00:00,3.4319,27.04,75.55,0.0,2
2020-01-03 21:00:00,1.6332,25.22,79.26,0.0,2
2020-01-03 22:00:00,0.2045,25.89,84.36,0.0,0
2020-01-03 23:00:00,0.2046,24.84,83.37,0.0,0
2020-01-04 00:00:00,0.2817,23.09,86.35,0.0,0
2020-01-04 01:00:00,0.3384,22.34,92.71,0.0,0
2020-01-04 02:00:00,0.3603,20.52,92.33,0.0,0
2020-01-04 03:00:00,0.3194,22.85,91.18,0.0,0
2020-01-04 04:00:00,0.3549,22.51,90.57,0.0,0
2020-01-04 05:00:00,0.2231,24.0,86.62,0.0,0
2020-01-04 06:00:00,3.2032,23.99,84.66,0.0,2
2020-01-04 07:00:00,5.3909,27.38,75.06,15646.13,2
2020-01-04 08:00:00,4.064,28.24,74.45,28159.79,2
2020-01-04 09:00:00,4.0837,29.64,71.57,41543.26,2
2020-01-04 10:00:00,3.6362,31.51,70.31,52128.4,2
2020-01-04 11:00:00,3.3554,30.8,68.28,58102.49,2
2020-01-04 12:00:00,3.6951,34.06,59.17,58858.43,2
2020-01-04 13:00:00,2.8726,32.47,61.61,57651.86,2
2020-01-04 14:00:00,3.5494,34.81,63.26,51232.67,2
2020-01-04 15:00:00,3.1678,32.75,62.76,43250.63,2
2020-01-04 16:00:00,2.8101,31.8,60.08,28333.5,2
2020-01-04 17:00:00,3.9563,31.18,67.92,15073.8,2
2020-01-04 18:00:00,4.5722,30.77,68.58,1708.06,2
2020-01-04 19:00:00,7.1777,28.45,71.16,0.0,2
2020-01-04 20:00:00,3.8329,27.98,74.4,0.0,2
2020-01-04 21:00:00,1.2995,25.24,82.0,0.0,2
2020-01-04 22:00:00,0.2808,26.37,83.21,0.0,0
2020-01-04 23:00:00,0.2084,23.27,81.81,0.0,0
2020-01-05 00:00:00,0.2912,24.15,90.24,0.0,0
2020-01-05 01:00:00,0.2437,23.44,87.95,0.0,0
2020-01-05 02:00:00,0.206,20.53,87.19,0.0,0
2020-01-05 03:00:00,0.2903,22.56,93.09,0.0,0
2020-01-05 04:00:00,0.2052,23.85,90.36,0.0,0
2020-01-05 05:00:00,0.3264,22.58,87.61,0.0,0
2020-01-05 06:00:00,2.9702,24.0,83.13,1130.46,2
2020-01-05 07:00:00,2.5905,26.27,75.08,16258.57,2
2020-01-05 08:00:00,1.7635,26.67,77.75,31109.67,2
2020-01-05 09:00:00,2.7847,29.38,73.89,44332.93,2
2020-01-05 10:00:00,3.6274,32.08,69.71,50921.5,2
2020-01-05 11:00:00,3.8104,33.39,67.97,58780.97,2
2020-01-05 12:00:00,3.3665,33.25,65.78,60279.22,2
2020-01-05 13:00:00,3.1049,32.34,59.67,57099.42,2
2020-01-05 14:00:00,3.2874,32.99,56.37,53233.66,2
2020-01-05 15:00:00,3.42,33.41,61.97,42799.83,2
2020-01-05 16:00:00,3.9095,31.71,61.78,30330.23,2
2020-01-05 17:00:00,2.9232,32.55,63.42,14613.62,2
2020-01-05 18:00:00,6.2678,31.03,68.92,0.0,2
2020-01-05 19:00:00,4.6406,28.82,74.27,0.0,2
2020-01-05 20:00:00,3.6251,28.34,76.86,0.0,2
2020-01-05 21:00:00,3.664,27.52,80.0,0.0,2
2020-01-05 22:00:00,0.2101,23.98,81.54,0.0,0
2020-01-05 23:00:00,0.3727,22.56,87.09,0.0,0
2020-01-06 00:00:00,0.3373,23.29,89.53,0.0,0
2020-01-06 01:00:00,0.3878,23.35,90.37,0.0,0
2020-01-06 02:00:00,0.3781,22.95,91.95,0.0,0
2020-01-06 03:00:00,0.2064,22.41,91.36,0.0,0
2020-01-06 04:00:00,0.2231,23.15,89.18,0.0,0
2020-01-06 05:00:00,0.3277,23.86,87.21,0.0,0
2020-01-06 06:00:00,1.9116,25.03,82.17,1088.8,2
2020-01-06 07:00:00,2.4593,26.52,76.25,13609.08,2
2020-01-06 08:00:00,0.2818,29.32,78.17,28345.6,0
2020-01-06 09:00:00,0.2861,30.38,72.74,40866.29,0
2020-01-06 10:00:00,0.2551,30.31,71.16,51172.0,0
2020-01-06 11:00:00,0.3278,33.25,60.54,57658.65,0
2020-01-06 12:00:00,0.3318,33.88,63.83,59011.95,0
2020-01-06 13:00:00,0.3102,33.57,62.21,59542.78,0
2020-01-06 14:00:00,0.2924,32.71,58.41,50983.38,0
2020-01-06 15:00:00,0.3314,33.69,57.47,41531.55,0
2020-01-06 16:00:00,3.9057,33.2,63.83,28051.72,1
2020-01-06 17:00:00,3.194,32.26,64.24,17098.59,1
2020-01-06 18:00:00,5.5646,30.37,70.17,0.0,2
2020-01-06 19:00:00,5.1026,28.8,70.69,0.0,2
2020-01-06 20:00:00,4.2574,27.21,74.2,0.0,2
2020-01-06 21:00:00,4.1849,27.04,78.31,0.0,2
2020-01-06 22:00:00,0.3271,23.93,84.98,0.0,0
2020-01-06 23:00:00,0.2825,24.0,82.41,0.0,0
2020-01-07 00:00:00,0.2209,24.29,90.04,0.0,0
2020-01-07 01:00:00,0.378,23.5,91.96,0.0,0
2020-01-07 02:00:00,0.2478,21.03,89.98,0.0,0
2020-01-07 03:00:00,0.3384,22.01,93.28,0.0,0
2020-01-07 04:00:00,0.2492,23.73,88.23,0.0,0
2020-01-07 05:00:00,0.3489,22.49,83.31,0.0,0
2020-01-07 06:00:00,3.1282,25.26,81.29,0.0,2
2020-01-07 07:00:00,2.0686,25.41,80.71,15117.86,2
2020-01-07 08:00:00,0.3721,28.33,73.87,31907.06,0
2020-01-07 09:00:00,0.2585,30.1,74.96,40915.03,0
2020-01-07 10:00:00,3.3277,32.25,64.71,53420.96,1
2020-01-07 11:00:00,0.2593,33.32,61.23,56712.22,0
2020-01-07 12:00:00,0.303,32.9,60.11,58028.94,0
2020-01-07 13:00:00,0.3578,33.9,62.96,58007.52,0
2020-01-07 14:00:00,0.3762,35.21,61.95,50468.5,0
2020-01-07 15:00:00,0.3173,34.25,59.79,44072.97,0
2020-01-07 16:00:00,3.1013,34.02,63.12,30144.59,1
2020-01-07 17:00:00,2.7965,32.24,66.06,13894.21,1
2020-01-07 18:00:00,6.0148,29.93,70.8,0.0,2
2020-01-07 19:00:00,4.3322,29.42,72.77,0.0,2
2020-01-07 20:00:00,3.6698,28.64,71.66,0.0,2
2020-01-07 21:00:00,1.9481,26.72,77.35,0.0,2
2020-01-07 22:00:00,0.2402,24.2,79.87,0.0,0
2020-01-07 23:00:00,0.3595,22.48,82.37,0.0,0
2020-01-08 00:00:00,0.3346,23.57,84.21,0.0,0
2020-01-08 01:00:00,0.3012,21.6,89.07,0.0,0
2020-01-08 02:00:00,0.3972,22.9,89.12,0.0,0
2020-01-08 03:00:00,0.2888,20.84,91.47,0.0,0
2020-01-08 04:00:00,0.389,21.62,88.35,0.0,0
2020-01-08 05:00:00,0.3899,22.5,86.45,0.0,0
2020-01-08 06:00:00,3.8758,24.21,83.77,0.0,2
2020-01-08 07:00:00,4.1107,25.8,75.47,17092.43,2
2020-01-08 08:00:00,0.2238,27.09,77.95,30593.89,0
2020-01-08 09:00:00,0.3438,30.09,67.47,40891.71,0
2020-01-08 10:00:00,0.2976,31.73,68.8,52608.47,0
2020-01-08 11:00:00,0.2631,31.55,65.84,56253.92,0
2020-01-08 12:00:00,0.2778,32.79,62.21,61261.28,0
2020-01-08 13:00:00,0.389,34.84,57.05,58766.62,0
2020-01-08 14:00:00,0.339,34.25,61.73,52296.24,0
2020-01-08 15:00:00,0.3646,32.46,62.92,44422.86,0
2020-01-08 16:00:00,3.4134,32.36,62.56,29839.36,1
2020-01-08 17:00:00,3.0374,32.74,66.41,14238.51,1
2020-01-08 18:00:00,4.5108,31.38,69.1,0.0,2
2020-01-08 19:00:00,5.7392,28.99,72.79,0.0,2
2020-01-08 20:00:00,3.466,27.43,78.56,0.0,2
2020-01-08 21:00:00,3.7947,27.78,79.25,0.0,2
2020-01-08 22:00:00,0.3512,24.11,82.48,0.0,0
2020-01-08 23:00:00,0.391,24.26,85.83,0.0,0
2020-01-09 00:00:00,0.3253,23.96,85.87,0.0,0
2020-01-09 01:00:00,0.3545,20.88,90.43,0.0,0
2020-01-09 02:00:00,0.3318,21.01,90.84,0.0,0
2020-01-09 03:00:00,0.3321,21.41,86.15,0.0,0
2020-01-09 04:00:00,0.3312,21.83,91.29,0.0,0
2020-01-09 05:00:00,0.2083,23.01,84.85,0.0,0
2020-01-09 06:00:00,3.8539,24.69,79.55,0.0,2
2020-01-09 07:00:00,4.4817,25.65,81.44,14901.93,2
2020-01-09 08:00:00,0.3011,28.12,72.69,30914.71,0
2020-01-09 09:00:00,2.8557,30.97,70.43,42118.03,1
2020-01-09 10:00:00,0.3377,30.34,69.3,52113.99,0
2020-01-09 11:00:00,0.3682,32.82,61.76,58788.05,0
2020-01-09 12:00:00,0.3324,33.92,60.05,58721.13,0
2020-01-09 13:00:00,0.2548,33.66,63.4,56074.02,0
2020-01-09 14:00:00,0.2181,35.34,57.69,51700.27,0
2020-01-09 15:00:00,0.3683,34.46,61.75,41939.04,0
2020-01-09 16:00:00,3.4872,31.7,58.08,29468.62,1
2020-01-09 17:00:00,3.1534,30.79,66.07,14877.13,1
2020-01-09 18:00:00,6.4054,30.71,64.66,0.0,2
2020-01-09 19:00:00,6.5572,30.93,74.61,0.0,2
2020-01-09 20:00:00,1.892,26.77,77.6,0.0,2
2020-01-09 21:00:00,1.5363,26.9,80.03,0.0,2
2020-01-09 22:00:00,0.3681,24.75,79.21,0.0,0
2020-01-09 23:00:00,0.2372,22.36,87.61,0.0,0
2020-01-10 00:00:00,0.2566,23.84,91.13,0.0,0
2020-01-10 01:00:00,0.3211,23.59,90.83,0.0,0
2020-01-10 02:00:00,0.3594,22.62,86.79,0.0,0
2020-01-10 03:00:00,0.3816,22.01,90.3,0.0,0
2020-01-10 04:00:00,0.2913,22.25,91.21,0.0,0
2020-01-10 05:00:00,0.3636,24.49,82.58,0.0,0
2020-01-10 06:00:00,4.3434,25.39,86.21,0.0,2
2020-01-10 07:00:00,3.6746,26.02,79.45,16494.87,2
2020-01-10 08:00:00,0.2197,29.48,74.71,31216.75,0
2020-01-10 09:00:00,0.2658,29.4,70.53,43782.92,0
2020-01-10 10:00:00,0.2907,31.43,69.1,53808.02,0
2020-01-10 11:00:00,3.1721,31.83,62.03,56185.35,1
2020-01-10 12:00:00,0.2469,32.17,59.46,59103.07,0
2020-01-10 13:00:00,0.3261,34.7,63.16,56595.0,0
2020-01-10 14:00:00,3.5509,33.73,58.94,51962.1,1
2020-01-10 15:00:00,0.294,34.77,57.51,43225.5,0
2020-01-10 16:00:00,3.0199,33.86,59.9,31718.26,1
2020-01-10 17:00:00,3.9051,31.77,67.63,14005.55,1
2020-01-10 18:00:00,4.9942,30.08,70.14,1011.57,2
2020-01-10 19:00:00,6.6335,28.69,73.98,0.0,2
2020-01-10 20:00:00,3.5218,28.0,76.58,0.0,2
2020-01-10 21:00:00,4.697,27.67,81.24,0.0,2
2020-01-10 22:00:00,0.2422,26.21,83.22,0.0,0
2020-01-10 23:00:00,0.2043,24.39,82.36,0.0,0
2020-01-11 00:00:00,0.2234,23.45,91.52,0.0,0
2020-01-11 01:00:00,0.2115,22.89,88.08,0.0,0
2020-01-11 02:00:00,0.3037,21.49,88.74,0.0,0
2020-01-11 03:00:00,0.2748,21.02,85.77,0.0,0
2020-01-11 04:00:00,0.234,21.79,89.17,0.0,0
2020-01-11 05:00:00,0.293,23.33,83.65,0.0,0
2020-01-11 06:00:00,4.0499,25.83,82.57,0.0,2
2020-01-11 07:00:00,4.4376,27.22,77.0,17407.98,2
2020-01-11 08:00:00,3.6247,27.64,71.56,30903.85,2
2020-01-11 09:00:00,4.262,28.43,73.44,42973.45,2
2020-01-11 10:00:00,3.3011,30.98,70.21,53593.33,2
2020-01-11 11:00:00,4.5327,30.76,66.57,57091.23,2
