Timestamp,Energy_kW,Temperature_C,Humidity_%,Luminous_Intensity_Lux,Occupancy
2020-01-01 0:00:00,0.3996,23.3,85.99,0,0
2020-01-01 1:00:00,0.2081,21.71,90.09,0,0
2020-01-01 2:00:00,0.2904,20.85,93.33,0,0
2020-01-01 3:00:00,0.2171,23.31,89.62,0,0
2020-01-01 4:00:00,0.316,24.15,85.38,0,0
2020-01-01 5:00:00,0.3734,24.42,83.16,0,0
2020-01-01 6:00:00,4.5166,26.2,81.29,370.06,2
2020-01-01 7:00:00,5.8752,27.41,82.62,15829.23,2
2020-01-01 8:00:00,2.998,28.74,75.34,31241.41,1
2020-01-01 9:00:00,3.6479,29.91,70.78,43177.5,1
2020-01-01 10:00:00,0.3878,30.4,66.17,52759.59,0
2020-01-01 11:00:00,0.2968,31.91,63.91,57763.17,0
2020-01-01 12:00:00,0.245,34.41,65.76,58884.62,0
2020-01-01 13:00:00,2.9994,34.07,59.45,57668.93,1
2020-01-01 14:00:00,0.2978,33.69,61,50415.69,0
2020-01-01 15:00:00,3.2809,34.02,62.96,43966.1,1
2020-01-01 16:00:00,3.2311,32.09,58.25,31289.83,1
2020-01-01 17:00:00,3.3853,31.73,68.28,16317.56,1
2020-01-01 18:00:00,6.8191,30.89,70.24,0,2
2020-01-01 19:00:00,6.0438,29.33,72.48,0,2
2020-01-01 20:00:00,3.3663,28.28,73.55,0,2
2020-01-01 21:00:00,1.3653,24.99,75.92,0,2
2020-01-01 22:00:00,0.3106,25.29,84.05,0,0
2020-01-01 23:00:00,0.3381,23.71,87.88,0,0
2020-01-02 0:00:00,0.3378,22.5,84.19,0,0
2020-01-02 1:00:00,0.2994,21.47,85.98,0,0
2020-01-02 2:00:00,0.309,20.84,93.19,0,0
2020-01-02 3:00:00,0.2672,22.62,91.32,0,0
2020-01-02 4:00:00,0.3335,23.23,89.78,0,0
2020-01-02 5:00:00,0.2986,24.34,85.43,0,0
2020-01-02 6:00:00,4.1129,26.21,81.17,0,2
2020-01-02 7:00:00,4.1901,27.88,77.05,14094.49,2
2020-01-02 8:00:00,0.22,29.02,73.21,29582.11,0
2020-01-02 9:00:00,0.2234,29.36,68.89,40866.19,0
2020-01-02 10:00:00,0.2761,31.61,67.93,52685.72,0
2020-01-02 11:00:00,0.3141,32.61,63.51,59387.12,0
2020-01-02 12:00:00,0.2411,32.25,63.34,58065.49,0
2020-01-02 13:00:00,2.5331,33.39,64.13,59228.47,1
2020-01-02 14:00:00,2.925,35.08,56.88,53709.1,1
2020-01-02 15:00:00,0.3941,33.5,56.57,42211.72,0
2020-01-02 16:00:00,3.518,31.76,62.04,30660.16,1
2020-01-02 17:00:00,3.6538,33.12,66.6,16746.64,1
2020-01-02 18:00:00,4.2276,29.72,69.81,0,2
2020-01-02 19:00:00,3.946,29.2,72.09,0,2
2020-01-02 20:00:00,3.2742,28.81,76.14,0,2
2020-01-02 21:00:00,3.757,27.01,79.2,0,2
2020-01-02 22:00:00,0.316,25.91,79.17,0,0
2020-01-02 23:00:00,0.2468,24.82,84.18,0,0
2020-01-03 0:00:00,0.3019,21.98,89,0,0
2020-01-03 1:00:00,0.362,22.38,91.09,0,0
2020-01-03 2:00:00,0.2454,21.72,91.48,0,0
2020-01-03 3:00:00,0.2706,22.5,92.33,0,0
2020-01-03 4:00:00,0.3915,23.8,85.35,0,0
2020-01-03 5:00:00,0.2027,24.08,84.63,0,0
2020-01-03 6:00:00,2.773,24.63,83.33,588.2,2
2020-01-03 7:00:00,3.147,25.67,75.7,15772.43,2
2020-01-03 8:00:00,0.3476,27.1,75.46,29126.69,0
2020-01-03 9:00:00,0.2551,28.29,67.13,43262.8,0
2020-01-03 10:00:00,3.3049,31.85,68.83,53371.09,1
2020-01-03 11:00:00,3.5399,31.89,63.69,56757.11,1
2020-01-03 12:00:00,0.3447,33.68,65.94,61850.24,0
2020-01-03 13:00:00,0.3613,34.9,61.34,58232.47,0
2020-01-03 14:00:00,0.2016,34.24,62.06,53288.33,0
2020-01-03 15:00:00,0.2893,32.34,58.88,42096.33,0
2020-01-03 16:00:00,3.5921,32.82,60.71,31181.51,1
2020-01-03 17:00:00,3.5238,33.53,62.21,17135.69,1
2020-01-03 18:00:00,5.2008,30.8,68.41,188.45,2
2020-01-03 19:00:00,5.137,29.69,71.13,0,2
2020-01-03 20:00:00,3.4319,27.04,75.55,0,2
2020-01-03 21:00:00,1.6332,25.22,79.26,0,2
2020-01-03 22:00:00,0.2045,25.89,84.36,0,0
2020-01-03 23:00:00,0.2046,24.84,83.37,0,0
2020-01-04 0:00:00,0.2817,23.09,86.35,0,0
2020-01-04 1:00:00,0.3384,22.34,92.71,0,0
2020-01-04 2:00:00,0.3603,20.52,92.33,0,0
2020-01-04 3:00:00,0.3194,22.85,91.18,0,0
2020-01-04 4:00:00,0.3549,22.51,90.57,0,0
2020-01-04 5:00:00,0.2231,24,86.62,0,0
2020-01-04 6:00:00,3.2032,23.99,84.66,0,2
2020-01-04 7:00:00,5.3909,27.38,75.06,15646.13,2
2020-01-04 8:00:00,4.064,28.24,74.45,28159.79,2
2020-01-04 9:00:00,4.0837,29.64,71.57,41543.26,2
2020-01-04 10:00:00,3.6362,31.51,70.31,52128.4,2
2020-01-04 11:00:00,3.3554,30.8,68.28,58102.49,2
2020-01-04 12:00:00,3.6951,34.06,59.17,58858.43,2
2020-01-04 13:00:00,2.8726,32.47,61.61,57651.86,2
2020-01-04 14:00:00,3.5494,34.81,63.26,51232.67,2
2020-01-04 15:00:00,3.1678,32.75,62.76,43250.63,2
2020-01-04 16:00:00,2.8101,31.8,60.08,28333.5,2
2020-01-04 17:00:00,3.9563,31.18,67.92,15073.8,2
2020-01-04 18:00:00,4.5722,30.77,68.58,1708.06,2
2020-01-04 19:00:00,7.1777,28.45,71.16,0,2
