Timestamp,Energy_kW,Temperature_C,Humidity_%,Luminous_Intensity_Lux,Occupancy
2020-01-01 00:00:00,0.2431,21.53,85.93,0.0,0
2020-01-01 01:00:00,0.3985,21.44,88.83,0.0,0
2020-01-01 02:00:00,0.3186,22.57,93.76,0.0,0
2020-01-01 03:00:00,0.2924,21.29,91.34,0.0,0
2020-01-01 04:00:00,0.333,22.09,85.31,0.0,0
2020-01-01 05:00:00,0.3682,22.54,89.08,0.0,0
2020-01-01 06:00:00,3.9579,23.89,80.15,1450.29,2
2020-01-01 07:00:00,5.6956,27.77,79.69,14437.21,2
2020-01-01 08:00:00,0.2957,26.57,73.36,30797.96,0
2020-01-01 09:00:00,0.3737,28.3,70.36,42954.01,0
2020-01-01 10:00:00,0.2078,29.7,70.94,51363.0,0
2020-01-01 11:00:00,0.2133,31.93,65.83,56606.52,0
2020-01-01 12:00:00,0.2664,32.5,64.5,60373.46,0
2020-01-01 13:00:00,0.2894,33.74,64.4,59716.08,0
2020-01-01 14:00:00,0.2527,34.36,59.27,52457.61,0
2020-01-01 15:00:00,0.3055,33.28,62.34,42016.33,0
2020-01-01 16:00:00,3.0163,32.16,62.92,31770.85,1
2020-01-01 17:00:00,3.915,32.66,61.69,16552.95,1
2020-01-01 18:00:00,5.7088,31.13,69.81,0.0,2
2020-01-01 19:00:00,5.8402,28.65,72.54,0.0,2
2020-01-01 20:00:00,3.8981,27.95,77.91,0.0,2
2020-01-01 21:00:00,2.3627,25.2,79.63,0.0,2
2020-01-01 22:00:00,0.3019,24.86,83.59,0.0,0
2020-01-01 23:00:00,0.3248,23.01,85.47,0.0,0
2020-01-02 00:00:00,0.2191,21.38,89.98,0.0,0
2020-01-02 01:00:00,0.3183,22.25,89.23,0.0,0
2020-01-02 02:00:00,0.3409,22.28,90.15,0.0,0
2020-01-02 03:00:00,0.3631,21.47,91.66,0.0,0
2020-01-02 04:00:00,0.3927,21.85,87.2,0.0,0
2020-01-02 05:00:00,0.3062,25.05,85.41,0.0,0
2020-01-02 06:00:00,2.1836,26.48,81.54,1048.47,2
2020-01-02 07:00:00,2.1562,26.08,80.73,15083.4,2
2020-01-02 08:00:00,0.3455,29.23,74.39,29318.74,0
2020-01-02 09:00:00,0.2306,28.57,67.37,43171.62,0
2020-01-02 10:00:00,0.2234,30.42,71.45,50307.55,0
2020-01-02 11:00:00,2.4796,31.03,65.53,59465.63,1
2020-01-02 12:00:00,3.6764,33.48,63.43,61739.91,1
2020-01-02 13:00:00,0.3295,34.66,56.78,59930.44,0
2020-01-02 14:00:00,0.234,33.23,58.2,53845.78,0
2020-01-02 15:00:00,0.2671,34.76,63.06,44358.67,0
2020-01-02 16:00:00,4.1623,31.76,64.97,30442.28,1
2020-01-02 17:00:00,3.4139,31.35,62.34,15685.08,1
2020-01-02 18:00:00,5.4113,30.83,66.92,0.0,2
2020-01-02 19:00:00,5.9964,29.91,69.54,0.0,2
2020-01-02 20:00:00,3.8137,28.04,74.76,0.0,2
2020-01-02 21:00:00,2.9758,27.38,82.0,0.0,2
2020-01-02 22:00:00,0.3676,23.91,79.96,0.0,0
2020-01-02 23:00:00,0.3733,24.09,87.71,0.0,0
2020-01-03 00:00:00,0.3426,23.32,85.35,0.0,0
2020-01-03 01:00:00,0.3428,20.84,92.43,0.0,0
2020-01-03 02:00:00,0.2996,22.71,86.92,0.0,0
2020-01-03 03:00:00,0.3114,20.92,89.63,0.0,0
2020-01-03 04:00:00,0.313,23.14,89.46,0.0,0
2020-01-03 05:00:00,0.3328,22.32,86.09,0.0,0
2020-01-03 06:00:00,2.5515,23.71,83.02,321.98,2
2020-01-03 07:00:00,4.3822,27.04,76.22,15297.96,2
2020-01-03 08:00:00,0.2631,27.86,73.26,29119.09,0
2020-01-03 09:00:00,0.2214,29.14,73.45,40989.74,0
2020-01-03 10:00:00,3.7202,31.54,70.65,52179.03,1
2020-01-03 11:00:00,0.2752,31.35,67.46,56692.19,0
2020-01-03 12:00:00,0.3996,34.2,63.83,58344.61,0
2020-01-03 13:00:00,0.355,34.63,63.54,56573.91,0
2020-01-03 14:00:00,0.2593,32.81,56.6,51123.85,0
2020-01-03 15:00:00,0.2534,32.56,58.87,41741.74,0
2020-01-03 16:00:00,2.8932,33.62,65.33,28741.59,1
2020-01-03 17:00:00,3.1427,32.02,66.97,17459.35,1
